outfitter "Unfettered Basics"
	add "Penta Pulser"
	add "Bomb Launcher"
	add "Bomb"
	add "Overtuned Engine (Jump Spider)"
	add "Overtuned Engine (Predator)"



outfit "Integrated Chameleon Anti-Missile"
	category "Turrets"
	cost 140000
	thumbnail "outfit/heavy anti-missile hai"
	"mass" 22
	"outfit space" -19
	"weapon capacity" -19
	"turret mounts" -1
	"integrated chameleon" -1
	weapon
		"hardpoint sprite" "hardpoint/heavy anti-missile hai"
		"hardpoint offset" 4.
		"hit effect" "large anti-missile"
		"anti-missile" 16
		"velocity" 200
		"lifetime" 1
		"reload" 15
		"firing energy" 23
		"firing heat" 6
		"stream"
	description "The Chameleon Anti-Missile turret has a longer range, higher power, and shorter reload time than the Bullfrog."
	description "	This version was built to be integrated in a Violin Spider."


outfit "Penta Pulser"
	category "Turrets"
	cost 2600000
	thumbnail "outfit/penta pulser"
	"mass" 70
	"outfit space" -70
	"weapon capacity" -70
	"turret mounts" -1
	"required crew" 3
	weapon
		sprite "projectile/pulse"
		"hardpoint sprite" "hardpoint/penta pulser"
		"hardpoint offset" 12.
		sound "pulse"
		"hit effect" "pulse impact"
		"inaccuracy" 4
		"turret turn" 1.6
		"velocity" 15
		"lifetime" 24
		"reload" 4
		"firing energy" 24
		"firing heat" 70
		"shield damage" 45
		"hull damage" 34
	description "These turrets exist because there is no such thing as 'overkill' to the Unfettered. The bigger it is, the harder it hits, the better. Unfortunately this means these turrets are highly unstable and thus require more crew to operate. At least they managed to optimize it, making it take less space compared to what it could have taken. However, this lack of extra redundancy and optimization came at the cost of range, flexibility and accuracy."


# invisible on all bombardiers violin
outfit "Bomb Launcher"
	# show it for testing
	category "Secondary Weapons"
	cost 100000
	thumbnail "outfit/unknown"
	mass 1
	heat 5
	"integrated bombing" -1
	"type 1 bomb capacity" 1
	weapon
		sprite "projectile/korath minelayer"
			"frame rate" .6
			"no repeat"
		sound "minelayer"
		ammo "Bomb"
		icon "icon/unfettered bomb"
		"fire effect" "minelayer fire"
		"hit effect" "huge explosion"
		"die effect" "big explosion"
		"submunition" "Unfettered Bomb Placed"
		"inaccuracy" 5
		"velocity" 3
		"lifetime" 100
		"reload" 180
		"firing energy" 5
		"firing heat" 1
		"acceleration" .16
		"drag" .04
		"turn" 2
		"homing" 4
		"infrared tracking" .9
		"missile strength" 120
		"shield damage" 10000
		"hull damage" 8000
		"hit force" 500
	description "Normally this would be hidden but this is for testing."
		
outfit "Unfettered Bomb Placed"
	weapon
		sprite "projectile/korath mine"
			"frame rate" 1
			"no repeat"
		"hit effect" "large explosion"
		"die effect" "tiny explosion"
		"inaccuracy" 360
		"velocity" 2
		"random velocity" 5
		"lifetime" 1000
		"random lifetime" 60
		"acceleration" .00001
		"drag" .05
		"shield damage" 25000
		"hull damage" 18000
		"hit force" 2000
		"missile strength" 100

effect "bomb deployed"
	sprite "effect/minelayer split"
		"no repeat"
		"frame rate" 6
	sound "mine deploy"
	"lifetime" 31

outfit "Bomb"
	"display name" "Unfettered Bomb Type 1"
	thumbnail "outfit/unfettered bomb"
	category "Ammunition"
	cost 100000
	mass 15
	"active cooling" 5
	"active cooling energy" 0.5
	"heat generation" 1
	"type 1 bomb capacity" -1
	description "The Unfettered prefer not to use the weapons of their enemies as that would suggest those are better. Instead, they transformed them into these bombs, meant to be carried by fighters. This is a true demonstration of the Unfettered's creativity when it comes to making things unstable."
	description "In fact, energy needs to be consumed in order to stabilize the bomb, so long as it is on the ship."
	
# TODO: add different variants of the bomb depending on the outfit that got overtuned to explode



